"filename", "language", "CSS", "JavaScript JSX", "JavaScript", "XML", "comment", "blank", "total"
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Categorical/KNearestNeighbour.jsx", "JavaScript JSX", 0, 82, 0, 0, 1, 5, 88
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Categorical/LogisticRegression.jsx", "JavaScript JSX", 0, 109, 0, 0, 1, 5, 115
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Categorical/MultilayerPerceptron.jsx", "JavaScript JSX", 0, 111, 0, 0, 1, 6, 118
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Categorical/RandomForestClassification.jsx", "JavaScript JSX", 0, 110, 0, 0, 1, 6, 117
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Categorical/SupportVectorMachine.jsx", "JavaScript JSX", 0, 100, 0, 0, 1, 5, 106
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Continuous/DecisionTreeRegression.jsx", "JavaScript JSX", 0, 91, 0, 0, 1, 6, 98
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Continuous/LassoRegression.jsx", "JavaScript JSX", 0, 94, 0, 0, 1, 5, 100
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Continuous/LinearRegression.jsx", "JavaScript JSX", 0, 61, 0, 0, 1, 4, 66
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Continuous/RandomForestRegression.jsx", "JavaScript JSX", 0, 180, 0, 0, 1, 7, 188
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Continuous/RidgeRegression.jsx", "JavaScript JSX", 0, 91, 0, 0, 1, 5, 97
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/BuildModel/components/Continuous/SupportVectorRegressor.jsx", "JavaScript JSX", 0, 70, 0, 0, 1, 6, 77
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/ModelEvaluation/ModelEvaluation.jsx", "JavaScript JSX", 0, 78, 0, 0, 0, 4, 82
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/ModelPrediction/ModelPrediction.jsx", "JavaScript JSX", 0, 73, 0, 0, 1, 4, 78
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/Model Building/SplitDataset/SplitDataset.jsx", "JavaScript JSX", 0, 199, 0, 0, 0, 7, 206
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Functions/TimeSeriesAnalysis/TimeSeriesAnalysis.jsx", "JavaScript JSX", 0, 226, 0, 0, 1, 12, 239
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Layout.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 2, 14
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Pages/Dashboard.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 4, 25
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Pages/EditorPage.jsx", "JavaScript JSX", 0, 91, 0, 0, 4, 18, 113
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Pages/Feature_collage.svg", "XML", 0, 0, 0, 263, 0, 1, 264
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Pages/HomePage.jsx", "JavaScript JSX", 0, 206, 0, 0, 20, 10, 236
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Pages/Login.jsx", "JavaScript JSX", 0, 64, 0, 0, 0, 3, 67
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Slices/ChartSlices.js", "JavaScript", 0, 0, 17, 0, 1, 3, 21
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Slices/FeatureEngineeringSlice.js", "JavaScript", 0, 0, 64, 0, 1, 4, 69
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Slices/SideBarSlice.js", "JavaScript", 0, 0, 18, 0, 1, 4, 23
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/Slices/UploadedFileSlice.js", "JavaScript", 0, 0, 18, 0, 1, 4, 23
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/TempPage.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 6, 30
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/index.css", "CSS", 28, 0, 0, 0, 1, 8, 37
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/main.jsx", "JavaScript JSX", 0, 41, 0, 0, 2, 2, 45
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/store.js", "JavaScript", 0, 0, 13, 0, 0, 2, 15
"/home/ahnaf/Documents/Web Development/Mf-frontend/src/util/indexDB.js", "JavaScript", 0, 0, 213, 0, 4, 45, 262
"Total", "-", 65, 8798, 343, 263, 184, 799, 10452
